x,u
5.02027,-0.860187
5.02655,-0.85735
5.03283,-0.854489
5.03911,-0.851604
5.0454,-0.848696
5.05168,-0.845764
5.05796,-0.842808
5.06425,-0.83983
5.07053,-0.836828
5.07681,-0.833804
5.0831,-0.830757
5.08938,-0.827687
5.09566,-0.824595
5.10195,-0.821481
5.10823,-0.818345
5.11451,-0.815188
5.1208,-0.812008
5.12708,-0.808807
5.13336,-0.805585
5.13965,-0.802342
5.14593,-0.799078
5.15221,-0.795793
5.1585,-0.792487
5.16478,-0.789161
5.17106,-0.785814
5.17734,-0.782447
5.18363,-0.779061
5.18991,-0.775654
5.19619,-0.772228
5.20248,-0.768782
5.20876,-0.765317
5.21504,-0.761833
5.22133,-0.75833
5.22761,-0.754807
5.23389,-0.751266
5.24018,-0.747707
5.24646,-0.744129
5.25274,-0.740533
5.25903,-0.736918
5.26531,-0.733286
5.27159,-0.729636
5.27788,-0.725968
5.28416,-0.722283
5.29044,-0.71858
5.29673,-0.71486
5.30301,-0.711123
5.30929,-0.707369
5.31558,-0.703598
5.32186,-0.699811
5.32814,-0.696007
5.33442,-0.692187
5.34071,-0.688351
5.34699,-0.684498
5.35327,-0.68063
5.35956,-0.676746
5.36584,-0.672846
5.37212,-0.668931
5.37841,-0.665001
5.38469,-0.661055
5.39097,-0.657095
5.39726,-0.653119
5.40354,-0.649129
5.40982,-0.645123
5.41611,-0.641104
5.42239,-0.63707
5.42867,-0.633022
5.43496,-0.62896
5.44124,-0.624884
5.44752,-0.620794
5.4538,-0.61669
5.46009,-0.612573
5.46637,-0.608442
5.47265,-0.604298
5.47894,-0.600141
5.48522,-0.595971
5.4915,-0.591788
5.49779,-0.587592
5.50407,-0.583384
5.51035,-0.579163
5.51664,-0.574929
5.52292,-0.570684
5.5292,-0.566426
5.53549,-0.562156
5.54177,-0.557874
5.54805,-0.553581
5.55434,-0.549276
5.56062,-0.544959
5.5669,-0.540631
5.57319,-0.536292
5.57947,-0.531941
5.58575,-0.52758
5.59203,-0.523207
5.59832,-0.518824
5.6046,-0.514431
5.61088,-0.510026
5.61717,-0.505612
5.62345,-0.501186
5.62973,-0.496751
5.63602,-0.492306
5.6423,-0.48785
5.64858,-0.483385
5.65487,-0.47891
5.66115,-0.474425
5.66743,-0.469931
5.67372,-0.465428
5.68,-0.460915
5.68628,-0.456393
5.69257,-0.451862
5.69885,-0.447322
5.70513,-0.442774
5.71142,-0.438216
5.7177,-0.43365
5.72398,-0.429075
5.73027,-0.424492
5.73655,-0.419901
5.74283,-0.415302
5.74911,-0.410694
5.7554,-0.406079
5.76168,-0.401455
5.76796,-0.396824
5.77425,-0.392186
5.78053,-0.387539
5.78681,-0.382885
5.7931,-0.378224
5.79938,-0.373556
5.80566,-0.368881
5.81195,-0.364198
5.81823,-0.359509
5.82451,-0.354813
5.8308,-0.35011
5.83708,-0.3454
5.84336,-0.340684
5.84965,-0.335962
5.85593,-0.331233
5.86221,-0.326498
5.86849,-0.321757
5.87478,-0.31701
5.88106,-0.312257
5.88734,-0.307499
5.89363,-0.302734
5.89991,-0.297964
5.90619,-0.293188
5.91248,-0.288407
5.91876,-0.283621
5.92504,-0.27883
5.93133,-0.274033
5.93761,-0.269231
5.94389,-0.264424
5.95018,-0.259613
5.95646,-0.254797
5.96274,-0.249975
5.96903,-0.24515
5.97531,-0.24032
5.98159,-0.235486
5.98788,-0.230647
5.99416,-0.225804
6.00044,-0.220957
6.00673,-0.216106
6.01301,-0.211251
6.01929,-0.206393
6.02557,-0.20153
6.03186,-0.196664
6.03814,-0.191794
6.04442,-0.186921
6.05071,-0.182045
6.05699,-0.177165
6.06327,-0.172282
6.06956,-0.167396
6.07584,-0.162507
6.08212,-0.157615
6.08841,-0.15272
6.09469,-0.147822
6.10097,-0.142922
6.10726,-0.138019
6.11354,-0.133114
6.11982,-0.128206
6.12611,-0.123296
6.13239,-0.118384
6.13867,-0.113469
6.14496,-0.108552
6.15124,-0.103634
6.15752,-0.0987133
6.16381,-0.093791
6.17009,-0.0888669
6.17637,-0.0839406
6.18265,-0.0790132
6.18894,-0.0740843
6.19522,-0.0691538
6.2015,-0.0642219
6.20779,-0.0592882
6.21407,-0.0543537
6.22035,-0.0494179
6.22664,-0.044481
6.23292,-0.0395429
6.2392,-0.0346032
6.24549,-0.029663
6.25177,-0.0247217
6.25805,-0.0197794
6.26434,-0.0148361
6.27062,-0.00989138
6.2769,-0.00494611
6.28319,1.74846e-07
0,0
0.00628319,0.00222324
0.0125664,0.00405378
0.0188496,0.00589242
0.0251327,0.00773516
0.0314159,0.00957954
0.0376991,0.0114241
0.0439823,0.0132681
0.0502655,0.0151113
0.0565487,0.0169534
0.0628319,0.0187946
0.069115,0.0206351
0.0753982,0.0224748
0.0816814,0.0243141
0.0879646,0.026153
0.0942478,0.0279917
0.100531,0.0298301
0.106814,0.0316684
0.113097,0.0335067
0.119381,0.0353448
0.125664,0.0371829
0.131947,0.0390209
0.13823,0.0408589
0.144513,0.0426968
0.150796,0.0445346
0.15708,0.0463723
0.163363,0.04821
0.169646,0.0500474
0.175929,0.0518847
0.182212,0.053722
0.188496,0.0555591
0.194779,0.057396
0.201062,0.0592329
0.207345,0.0610695
0.213628,0.062906
0.219911,0.0647424
0.226195,0.0665786
0.232478,0.0684148
0.238761,0.0702507
0.245044,0.0720866
0.251327,0.0739224
0.257611,0.075758
0.263894,0.0775935
0.270177,0.0794289
0.27646,0.0812642
0.282743,0.0830993
0.289027,0.0849344
0.29531,0.0867694
0.301593,0.0886042
0.307876,0.090439
0.314159,0.0922737
0.320442,0.0941082
0.326726,0.0959427
0.333009,0.097777
0.339292,0.0996114
0.345575,0.101446
0.351858,0.10328
0.358142,0.105114
0.364425,0.106947
0.370708,0.108781
0.376991,0.110615
0.383274,0.112449
0.389558,0.114282
0.395841,0.116116
0.402124,0.117949
0.408407,0.119782
0.41469,0.121615
0.420973,0.123449
0.427257,0.125282
0.43354,0.127114
0.439823,0.128947
0.446106,0.13078
0.452389,0.132613
0.458673,0.134445
0.464956,0.136278
0.471239,0.13811
0.477522,0.139942
0.483805,0.141774
0.490088,0.143606
0.496372,0.145438
0.502655,0.14727
0.508938,0.149102
0.515221,0.150934
0.521504,0.152765
0.527788,0.154597
0.534071,0.156428
0.540354,0.15826
0.546637,0.160091
0.55292,0.161922
0.559204,0.163753
0.565487,0.165584
0.57177,0.167415
0.578053,0.169246
0.584336,0.171076
0.590619,0.172907
0.596903,0.174737
0.603186,0.176567
0.609469,0.178398
0.615752,0.180228
0.622035,0.182058
0.628319,0.183887
0.634602,0.185717
0.640885,0.187547
0.647168,0.189377
0.653451,0.191206
0.659734,0.193035
0.666018,0.194864
0.672301,0.196694
0.678584,0.198523
0.684867,0.200351
0.69115,0.20218
0.697434,0.204008
0.703717,0.205837
0.71,0.207665
0.716283,0.209494
0.722566,0.211322
0.72885,0.21315
0.735133,0.214977
0.741416,0.216805
0.747699,0.218632
0.753982,0.22046
0.760265,0.222287
0.766549,0.224114
0.772832,0.225941
0.779115,0.227768
0.785398,0.229594
0.791681,0.231421
0.797965,0.233247
0.804248,0.235073
0.810531,0.236899
0.816814,0.238725
0.823097,0.240551
0.82938,0.242376
0.835664,0.244202
0.841947,0.246027
0.84823,0.247852
0.854513,0.249677
0.860796,0.251501
0.86708,0.253326
0.873363,0.25515
0.879646,0.256974
0.885929,0.258798
0.892212,0.260622
0.898495,0.262445
0.904779,0.264269
0.911062,0.266092
0.917345,0.267915
0.923628,0.269738
0.929911,0.27156
0.936195,0.273382
0.942478,0.275205
0.948761,0.277027
0.955044,0.278848
0.961327,0.28067
0.967611,0.282491
0.973894,0.284312
0.980177,0.286133
0.98646,0.287954
0.992743,0.289774
0.999026,0.291595
1.00531,0.293414
1.01159,0.295234
1.01788,0.297054
1.02416,0.298873
1.03044,0.300692
1.03673,0.302511
1.04301,0.304329
1.04929,0.306148
1.05558,0.307966
1.06186,0.309784
1.06814,0.311601
1.07442,0.313419
1.08071,0.315236
1.08699,0.317052
1.09327,0.318869
1.09956,0.320685
1.10584,0.322501
1.11212,0.324317
1.11841,0.326132
1.12469,0.327948
1.13097,0.329762
1.13726,0.331577
1.14354,0.333391
1.14982,0.335205
1.15611,0.337019
1.16239,0.338833
1.16867,0.340646
1.17496,0.342459
1.18124,0.344272
1.18752,0.346084
1.19381,0.347896
1.20009,0.349708
1.20637,0.351519
1.21265,0.35333
1.21894,0.35514
1.22522,0.356951
1.2315,0.358761
1.23779,0.360571
1.24407,0.36238
1.25035,0.364189
1.25664,0.365998
1.26292,0.367807
1.2692,0.369615
1.27549,0.371422
1.28177,0.37323
1.28805,0.375037
1.29434,0.376844
1.30062,0.37865
1.3069,0.380456
1.31319,0.382262
1.31947,0.384067
1.32575,0.385872
1.33204,0.387677
1.33832,0.389481
1.3446,0.391285
1.35088,0.393089
1.35717,0.394892
1.36345,0.396695
1.36973,0.398497
1.37602,0.400299
1.3823,0.402101
1.38858,0.403902
1.39487,0.405703
1.40115,0.407503
1.40743,0.409303
1.41372,0.411103
1.42,0.412902
1.42628,0.414701
1.43257,0.4165
1.43885,0.418298
1.44513,0.420095
1.45142,0.421893
1.4577,0.423689
1.46398,0.425486
1.47027,0.427282
1.47655,0.429078
1.48283,0.430873
1.48911,0.432667
1.4954,0.434462
1.50168,0.436255
1.50796,0.438049
1.51425,0.439842
1.52053,0.441634
1.52681,0.443426
1.5331,0.445218
1.53938,0.447009
1.54566,0.4488
1.55195,0.45059
1.55823,0.45238
1.56451,0.454169
1.5708,0.455958
1.57708,0.457746
1.58336,0.459534
1.58965,0.461322
1.59593,0.463108
1.60221,0.464895
1.6085,0.466681
1.61478,0.468466
1.62106,0.470251
1.62735,0.472036
1.63363,0.473819
1.63991,0.475603
1.64619,0.477386
1.65248,0.479168
1.65876,0.48095
1.66504,0.482731
1.67133,0.484512
1.67761,0.486292
1.68389,0.488072
1.69018,0.489852
1.69646,0.49163
1.70274,0.493408
1.70903,0.495186
1.71531,0.496963
1.72159,0.49874
1.72788,0.500516
1.73416,0.502291
1.74044,0.504066
1.74673,0.50584
1.75301,0.507614
1.75929,0.509387
1.76558,0.51116
1.77186,0.512932
1.77814,0.514703
1.78442,0.516474
1.79071,0.518244
1.79699,0.520014
1.80327,0.521783
1.80956,0.523552
1.81584,0.525319
1.82212,0.527086
1.82841,0.528853
1.83469,0.530619
1.84097,0.532385
1.84726,0.534149
1.85354,0.535913
1.85982,0.537677
1.86611,0.539439
1.87239,0.541202
1.87867,0.542963
1.88496,0.544724
1.89124,0.546484
1.89752,0.548244
1.90381,0.550003
1.91009,0.551761
1.91637,0.553519
1.92265,0.555275
1.92894,0.557032
1.93522,0.558787
1.9415,0.560542
1.94779,0.562296
1.95407,0.564049
1.96035,0.565802
1.96664,0.567554
1.97292,0.569306
1.9792,0.571056
1.98549,0.572806
1.99177,0.574555
1.99805,0.576304
2.00434,0.578051
2.01062,0.579798
2.0169,0.581544
2.02319,0.58329
2.02947,0.585034
2.03575,0.586778
2.04204,0.588522
2.04832,0.590264
2.0546,0.592006
2.06088,0.593746
2.06717,0.595486
2.07345,0.597225
2.07973,0.598964
2.08602,0.600701
2.0923,0.602438
2.09858,0.604174
2.10487,0.60591
2.11115,0.607644
